Id,Prediction
fadg0_si1279_1,r
fadg0_si1279_2,r
fadg0_si1279_3,sil
fadg0_si1279_4,sil
fadg0_si1279_5,sil
fadg0_si1279_6,r
fadg0_si1279_7,r
fadg0_si1279_8,r
fadg0_si1279_9,r
fadg0_si1279_10,r
fadg0_si1279_11,sil
fadg0_si1279_12,sil
fadg0_si1279_13,sil
fadg0_si1279_14,sil
fadg0_si1279_15,sil
fadg0_si1279_16,l
fadg0_si1279_17,l
fadg0_si1279_18,ih
fadg0_si1279_19,ih
fadg0_si1279_20,ae
fadg0_si1279_21,iy
fadg0_si1279_22,iy
fadg0_si1279_23,iy
fadg0_si1279_24,iy
fadg0_si1279_25,iy
fadg0_si1279_26,l
fadg0_si1279_27,l
fadg0_si1279_28,ih
fadg0_si1279_29,ae
fadg0_si1279_30,dh
fadg0_si1279_31,z
fadg0_si1279_32,sil
fadg0_si1279_33,sil
fadg0_si1279_34,sil
fadg0_si1279_35,r
fadg0_si1279_36,r
fadg0_si1279_37,r
fadg0_si1279_38,r
fadg0_si1279_39,r
fadg0_si1279_40,sil
fadg0_si1279_41,sil
fadg0_si1279_42,sil
fadg0_si1279_43,sil
fadg0_si1279_44,sil
fadg0_si1279_45,r
fadg0_si1279_46,eh
fadg0_si1279_47,z
fadg0_si1279_48,z
fadg0_si1279_49,r
fadg0_si1279_50,l
fadg0_si1279_51,l
fadg0_si1279_52,l
fadg0_si1279_53,l
fadg0_si1279_54,l
fadg0_si1279_55,l
fadg0_si1279_56,l
fadg0_si1279_57,l
fadg0_si1279_58,l
fadg0_si1279_59,l
fadg0_si1279_60,l
fadg0_si1279_61,l
fadg0_si1279_62,l
fadg0_si1279_63,l
fadg0_si1279_64,l
fadg0_si1279_65,l
fadg0_si1279_66,l
fadg0_si1279_67,l
fadg0_si1279_68,l
fadg0_si1279_69,sil
fadg0_si1279_70,sil
fadg0_si1279_71,sil
fadg0_si1279_72,sil
fadg0_si1279_73,sil
fadg0_si1279_74,aa
fadg0_si1279_75,aa
fadg0_si1279_76,l
fadg0_si1279_77,l
fadg0_si1279_78,l
fadg0_si1279_79,l
fadg0_si1279_80,eh
fadg0_si1279_81,eh
fadg0_si1279_82,eh
fadg0_si1279_83,r
fadg0_si1279_84,l
fadg0_si1279_85,l
fadg0_si1279_86,l
fadg0_si1279_87,l
fadg0_si1279_88,l
fadg0_si1279_89,l
fadg0_si1279_90,l
fadg0_si1279_91,l
fadg0_si1279_92,l
fadg0_si1279_93,l
fadg0_si1279_94,l
fadg0_si1279_95,l
fadg0_si1279_96,aa
fadg0_si1279_97,dh
fadg0_si1279_98,r
fadg0_si1279_99,r
fadg0_si1279_100,r
fadg0_si1279_101,r
fadg0_si1279_102,r
fadg0_si1279_103,r
fadg0_si1279_104,r
fadg0_si1279_105,r
fadg0_si1279_106,r
fadg0_si1279_107,dh
fadg0_si1279_108,dh
fadg0_si1279_109,dh
fadg0_si1279_110,l
fadg0_si1279_111,l
fadg0_si1279_112,l
fadg0_si1279_113,l
fadg0_si1279_114,l
fadg0_si1279_115,l
fadg0_si1279_116,r
fadg0_si1279_117,r
fadg0_si1279_118,ih
fadg0_si1279_119,l
fadg0_si1279_120,l
fadg0_si1279_121,l
fadg0_si1279_122,r
fadg0_si1279_123,r
fadg0_si1279_124,dh
fadg0_si1279_125,dh
fadg0_si1279_126,dh
fadg0_si1279_127,ae
fadg0_si1279_128,iy
fadg0_si1279_129,dh
fadg0_si1279_130,dh
fadg0_si1279_131,sil
fadg0_si1279_132,sil
fadg0_si1279_133,r
fadg0_si1279_134,r
fadg0_si1279_135,r
fadg0_si1279_136,r
fadg0_si1279_137,r
fadg0_si1279_138,dh
fadg0_si1279_139,dh
fadg0_si1279_140,dh
fadg0_si1279_141,dh
fadg0_si1279_142,dh
fadg0_si1279_143,dh
fadg0_si1279_144,dh
fadg0_si1279_145,dh
fadg0_si1279_146,dh
fadg0_si1279_147,dh
fadg0_si1279_148,ae
fadg0_si1279_149,ih
fadg0_si1279_150,ih
fadg0_si1279_151,ih
fadg0_si1279_152,dh
fadg0_si1279_153,dh
fadg0_si1279_154,r
fadg0_si1279_155,r
fadg0_si1279_156,r
fadg0_si1279_157,r
fadg0_si1279_158,r
fadg0_si1279_159,r
fadg0_si1279_160,r
fadg0_si1279_161,r
fadg0_si1279_162,r
fadg0_si1279_163,r
fadg0_si1279_164,r
fadg0_si1279_165,r
fadg0_si1279_166,r
fadg0_si1279_167,r
fadg0_si1279_168,r
fadg0_si1279_169,r
fadg0_si1279_170,r
fadg0_si1279_171,r
fadg0_si1279_172,r
fadg0_si1279_173,r
fadg0_si1279_174,r
fadg0_si1279_175,r
fadg0_si1279_176,r
fadg0_si1279_177,r
fadg0_si1279_178,r
fadg0_si1279_179,r
fadg0_si1279_180,r
fadg0_si1909_1,r
fadg0_si1909_2,r
fadg0_si1909_3,r
fadg0_si1909_4,r
fadg0_si1909_5,r
fadg0_si1909_6,r
fadg0_si1909_7,r
fadg0_si1909_8,sil
fadg0_si1909_9,sil
fadg0_si1909_10,sil
fadg0_si1909_11,sil
fadg0_si1909_12,dh
fadg0_si1909_13,r
fadg0_si1909_14,r
fadg0_si1909_15,r
fadg0_si1909_16,r
fadg0_si1909_17,r
fadg0_si1909_18,r
fadg0_si1909_19,r
fadg0_si1909_20,r
fadg0_si1909_21,r
fadg0_si1909_22,r
fadg0_si1909_23,r
fadg0_si1909_24,r
fadg0_si1909_25,r
fadg0_si1909_26,l
fadg0_si1909_27,l
fadg0_si1909_28,l
fadg0_si1909_29,l
fadg0_si1909_30,l
fadg0_si1909_31,l
fadg0_si1909_32,l
fadg0_si1909_33,l
fadg0_si1909_34,l
fadg0_si1909_35,l
fadg0_si1909_36,l
fadg0_si1909_37,l
fadg0_si1909_38,l
fadg0_si1909_39,l
fadg0_si1909_40,l
fadg0_si1909_41,r
fadg0_si1909_42,r
fadg0_si1909_43,r
fadg0_si1909_44,r
fadg0_si1909_45,r
fadg0_si1909_46,r
fadg0_si1909_47,r
fadg0_si1909_48,r
fadg0_si1909_49,r
fadg0_si1909_50,r
fadg0_si1909_51,r
fadg0_si1909_52,r
fadg0_si1909_53,sil
fadg0_si1909_54,sil
fadg0_si1909_55,r
fadg0_si1909_56,r
fadg0_si1909_57,r
fadg0_si1909_58,r
fadg0_si1909_59,r
fadg0_si1909_60,r
fadg0_si1909_61,r
fadg0_si1909_62,sil
fadg0_si1909_63,sil
fadg0_si1909_64,sil
fadg0_si1909_65,l
fadg0_si1909_66,l
fadg0_si1909_67,l
fadg0_si1909_68,l
fadg0_si1909_69,l
fadg0_si1909_70,l
fadg0_si1909_71,l
fadg0_si1909_72,l
fadg0_si1909_73,l
fadg0_si1909_74,l
fadg0_si1909_75,dh
fadg0_si1909_76,dh
fadg0_si1909_77,dh
fadg0_si1909_78,dh
fadg0_si1909_79,ih
fadg0_si1909_80,ae
fadg0_si1909_81,ih
fadg0_si1909_82,ih
fadg0_si1909_83,ih
fadg0_si1909_84,l
fadg0_si1909_85,aa
fadg0_si1909_86,aa
fadg0_si1909_87,aa
fadg0_si1909_88,aa
fadg0_si1909_89,aa
fadg0_si1909_90,iy
fadg0_si1909_91,r
fadg0_si1909_92,r
fadg0_si1909_93,aa
fadg0_si1909_94,aa
fadg0_si1909_95,aa
fadg0_si1909_96,z
fadg0_si1909_97,z
fadg0_si1909_98,l
fadg0_si1909_99,l
fadg0_si1909_100,l
fadg0_si1909_101,l
fadg0_si1909_102,l
fadg0_si1909_103,l
fadg0_si1909_104,l
fadg0_si1909_105,dh
fadg0_si1909_106,dh
fadg0_si1909_107,dh
fadg0_si1909_108,dh
fadg0_si1909_109,dh
fadg0_si1909_110,dh
fadg0_si1909_111,dh
fadg0_si1909_112,l
fadg0_si1909_113,l
fadg0_si1909_114,dh
fadg0_si1909_115,dh
fadg0_si1909_116,dh
fadg0_si1909_117,dh
fadg0_si1909_118,dh
fadg0_si1909_119,ih
fadg0_si1909_120,aa
fadg0_si1909_121,aa
fadg0_si1909_122,aa
fadg0_si1909_123,aa
fadg0_si1909_124,aa
fadg0_si1909_125,eh
fadg0_si1909_126,eh
fadg0_si1909_127,dh
fadg0_si1909_128,dh
fadg0_si1909_129,dh
fadg0_si1909_130,dh
fadg0_si1909_131,dh
fadg0_si1909_132,dh
fadg0_si1909_133,r
fadg0_si1909_134,r
fadg0_si1909_135,r
fadg0_si1909_136,r
fadg0_si1909_137,dh
fadg0_si1909_138,dh
fadg0_si1909_139,dh
fadg0_si1909_140,r
fadg0_si1909_141,sil
fadg0_si1909_142,sil
fadg0_si1909_143,sil
fadg0_si1909_144,r
fadg0_si1909_145,eh
fadg0_si1909_146,l
fadg0_si1909_147,l
fadg0_si1909_148,l
fadg0_si1909_149,ih
fadg0_si1909_150,ih
fadg0_si1909_151,iy
fadg0_si1909_152,l
fadg0_si1909_153,l
fadg0_si1909_154,l
fadg0_si1909_155,l
fadg0_si1909_156,l
fadg0_si1909_157,l
fadg0_si1909_158,l
fadg0_si1909_159,l
fadg0_si1909_160,l
fadg0_si1909_161,l
fadg0_si1909_162,l
fadg0_si1909_163,l
fadg0_si1909_164,l
fadg0_si1909_165,l
fadg0_si1909_166,l
fadg0_si1909_167,l
fadg0_si1909_168,l
fadg0_si1909_169,l
fadg0_si1909_170,l
fadg0_si1909_171,dh
fadg0_si1909_172,dh
